NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #1622,22,10.14010,693.81072,151.40989,29.90681,128.62828,0.20714,1083582.09091,-2.18836,3.75369
Fingerprint #1623,13,10.21550,1178.24506,151.45333,49.22456,109.34761,0.15029,1849249.61538,-2.20201,3.72183
Fingerprint #1624,18,10.14140,776.22171,150.63652,32.99276,130.62570,0.22301,1323923.22222,-1.98793,3.23470
Fingerprint #1625,16,10.17370,903.96578,129.37833,44.75214,103.68869,0.18605,1496764.37500,-2.09143,3.42765
Fingerprint #1626,21,10.15080,696.15401,126.45922,34.69552,107.42588,0.21180,1137402.76190,-1.98105,3.25041
Fingerprint #1627,9,10.22240,1600.28308,167.08015,68.65730,94.98852,0.13588,2672162.88889,-2.24140,3.87727
Fingerprint #1628,21,10.13490,662.42237,126.59555,33.14398,105.87812,0.25204,1135187.90476,-2.12259,3.49072
Fingerprint #1629,16,10.16500,931.59454,112.15784,40.31291,103.39155,0.37541,1495416.81250,-1.64388,2.33427
Fingerprint #1630,17,10.21270,858.96305,98.99901,35.80226,81.27462,0.28249,1414374.47059,-1.78654,2.67780
Fingerprint #1631,24,10.13140,616.32787,128.15855,29.60853,111.52715,0.25228,992185.00000,-2.12823,3.48178
Fingerprint #1632,16,10.14220,856.23876,111.83378,37.71811,108.35895,0.29829,1490887.06250,-1.87328,2.72973
Fingerprint #1633,22,10.18170,686.31656,110.05864,32.99088,96.79982,0.32670,1088629.31818,-1.75791,2.56706
Fingerprint #1634,11,10.23900,1338.05905,103.88081,42.19067,98.54189,0.34642,2192709.63636,-1.69405,2.01997
Fingerprint #1635,11,10.22130,1385.12375,160.65646,52.83732,141.12550,0.16622,2186933.27273,-2.08789,3.64463
Fingerprint #1636,20,10.16150,746.24096,155.01143,38.02134,120.88392,0.18114,1195049.00000,-2.38693,4.51102
Fingerprint #1637,19,10.19730,753.04310,148.49428,34.99653,119.71480,0.21493,1262393.05263,-2.09948,3.41985
Fingerprint #1638,17,10.15480,858.65938,191.11696,33.39791,133.56674,0.14030,1405307.35294,-2.19089,3.86823
Fingerprint #1639,16,10.16410,917.82202,93.58494,39.76083,76.04672,0.29019,1491955.00000,-1.76025,2.24614
Fingerprint #1640,20,10.11700,675.35130,119.51904,35.23587,108.37108,0.32022,1189109.30000,-1.75456,2.50080
